Trajectories
100
,,1 5,,,1 6,,,1 7,,,1 8,,,1 9,,,1 10,,,1 11,,,1 12,,,1 13,,,1 14,,,1 15,,,1 16,,,1 17,,,1 18,,,1 19,,,1 20,,,1 21,,,1 22,,,1 23,,,1 24,,,1 25,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
37,0,1611.26,-59.8061,22.9817,459.035,386.667,24.0219,824.676,1020.42,32.0885,1621.66,429.528,28.6711,1139.01,443.575,26.1457,2226.93,738.384,30.3388,2274.77,-57.0658,34.4889,546.093,-353.241,28.3131,1896.3,-658.432,33.4099,1563.63,1126.75,26.3015,1125.51,-50.5796,23.9112,1235.39,-721.155,21.3621,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0,1611.18,-59.9072,22.8418,459.141,386.637,24.0474,824.739,1020.37,32.1419,1621.67,429.551,28.6875,1139,443.568,26.1749,2226.91,738.377,30.326,2274.7,-57.0298,34.431,546.39,-353.638,28.4534,1896.27,-658.413,33.4245,1563.62,1126.73,26.3304,1125.59,-50.6555,23.9096,1235.43,-721.137,21.5883,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0,1611.24,-59.8104,22.95,459.076,386.682,24.0442,824.712,1020.38,32.1018,1621.66,429.541,28.6857,1139.01,443.572,26.1663,2227.07,738.008,30.7807,2274.68,-57.0789,34.4351,546.052,-353.285,28.3375,1896.3,-658.439,33.6213,1563.62,1126.74,26.315,1125.61,-50.5953,23.9219,1235.37,-721.087,21.4722,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0,1611.18,-59.879,22.8468,459.144,386.648,24.0669,824.633,1020.46,32.0921,1621.66,429.57,28.6892,1138.99,443.558,26.1539,2226.89,738.437,30.2884,2274.72,-57.0382,34.3901,546.005,-353.196,28.3272,1896.4,-658.553,33.7505,1563.61,1126.77,26.2977,1124.62,-51.0851,23.3692,1235.35,-721.189,21.3625,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0,1611.17,-59.8845,22.8396,459.129,386.651,24.0527,824.672,1020.43,32.0845,1621.66,429.558,28.652,1138.98,443.555,26.1587,2227.06,737.991,30.7778,2274.81,-57.0155,34.4956,546.328,-353.688,28.4007,1896.37,-658.583,33.6328,1563.63,1126.74,26.3307,1125.53,-50.6152,23.9102,1235.17,-721.168,21.3602,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0,1611.18,-59.8904,22.8317,459.075,386.639,24.0653,824.689,1020.45,32.0738,1621.65,429.552,28.6425,1139,443.559,26.1572,2226.92,738.341,30.3677,2274.67,-57.0793,34.4068,546.134,-353.313,28.2795,1896.23,-658.424,33.4185,1563.6,1126.76,26.2921,1125.53,-50.6338,23.9015,1235.3,-721.164,21.3218,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0,1611.18,-59.8961,22.8596,459.256,386.585,24.1228,824.76,1020.4,32.1412,1621.88,429.692,28.7079,1138.97,443.554,26.156,2226.9,738.455,30.293,2274.67,-57.0761,34.3757,546.141,-353.333,28.303,1896.4,-658.588,33.7757,1563.64,1126.73,26.3056,1124.63,-51.1127,23.3409,1235.5,-721.074,21.3778,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,1611.13,-59.9124,23.0412,459.009,386.677,24.0404,824.665,1020.46,32.1003,1621.7,429.583,28.6862,1138.98,443.554,26.1374,2227.07,738.009,30.8135,2274.66,-57.0825,34.345,546.393,-353.664,28.424,1896.27,-658.364,33.3331,1563.64,1126.75,26.3187,1125.49,-50.6186,23.868,1235.49,-721.053,21.3442,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0,1611.15,-59.8831,22.8627,459.099,386.66,24.0293,824.668,1020.45,32.0751,1621.7,429.575,28.7017,1139.02,443.541,26.1726,2226.91,738.374,30.3421,2274.62,-57.0823,34.3497,545.954,-353.184,28.3029,1896.23,-658.343,33.3308,1563.64,1126.74,26.3305,1124.51,-51.1156,23.2372,1235.33,-721.104,21.3168,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,1611.22,-59.8056,22.9562,459.094,386.683,24.0116,824.68,1020.47,32.0851,1621.7,429.583,28.6888,1139,443.56,26.1677,2226.88,738.418,30.2745,2274.66,-57.0817,34.3338,546.17,-353.294,28.3093,1896.27,-658.325,33.2804,1563.64,1126.75,26.3411,1125.57,-50.6508,23.8722,1235.29,-721.204,21.3384,,,,,,,,,,,,,,,,,,,,,,,,,,,
