Objects
100
,,Global Angle quackGPT:quackGPT,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
204,0,0.0156018,-0.000875954,-0.00914993,958.797,-524.714,138.021
205,0,0.0155485,-0.000516261,-0.00869782,958.783,-524.726,137.983
206,0,0.0156091,-0.000878973,-0.0087886,958.791,-524.725,137.996
207,0,0.0157626,-0.00113919,-0.00894124,958.793,-524.726,138.016
208,0,0.0157501,-0.000937817,-0.00908059,958.799,-524.719,138.02
209,0,0.012207,-0.0026226,-0.008149,958.742,-524.739,137.898
210,0,0.0156714,-0.000749294,-0.00906058,958.783,-524.726,137.987
211,0,0.0159449,-0.00070538,-0.00902933,958.796,-524.705,138.008
212,0,0.0122899,-0.00299315,-0.00811623,958.739,-524.74,137.908
213,0,0.0121111,-0.00260852,-0.00792112,958.751,-524.745,137.897
214,0,0.015915,-0.000653812,-0.00892996,958.78,-524.724,138
215,0,0.015774,-0.000661958,-0.00895962,958.788,-524.729,137.99
216,0,0.0155121,-0.000820905,-0.00897747,958.806,-524.722,138.012
217,0,0.0155417,-0.00111826,-0.00878954,958.793,-524.715,138.017
218,0,0.0152379,-0.000976133,-0.00889947,958.779,-524.71,138.002
219,0,0.0158143,-0.00134018,-0.00879644,958.796,-524.742,138.016
220,0,0.015314,-0.000906442,-0.00888302,958.801,-524.728,138.015
221,0,0.0151422,-0.000966951,-0.0088897,958.786,-524.728,138.007
222,0,0.0157344,-0.000989905,-0.00898654,958.777,-524.719,137.983
223,0,0.0157973,-0.000871458,-0.00877037,958.785,-524.718,137.996
224,0,0.0119094,-0.00310315,-0.00811138,958.749,-524.744,137.915
225,0,0.0121182,-0.00295532,-0.00803246,958.748,-524.746,137.899
226,0,0.0120815,-0.00304298,-0.00807972,958.751,-524.752,137.904
227,0,0.0154506,-0.000716962,-0.00874918,958.797,-524.74,138.005
228,0,0.0157245,-0.000786906,-0.00902123,958.785,-524.714,137.997
229,0,0.0155832,-0.000877385,-0.00884593,958.789,-524.715,138.002
230,0,0.0153196,-0.00103131,-0.00873472,958.792,-524.722,138.006
231,0,0.015307,-0.00099235,-0.00907844,958.792,-524.711,138.006
232,0,0.0144636,-0.000329969,-0.0087011,958.801,-524.735,138.052
233,0,0.015332,-0.000984474,-0.00857838,958.791,-524.737,138
234,0,0.0155471,-0.000920396,-0.00888174,958.786,-524.728,138.005
235,0,0.0154371,-0.000947565,-0.0089812,958.791,-524.717,137.992
236,0,0.015496,-0.00090454,-0.00921065,958.792,-524.714,138.009
237,0,0.0151474,-0.000863451,-0.00882802,958.794,-524.719,138.014
238,0,0.0157395,-0.000962664,-0.00865608,958.79,-524.748,138.013
239,0,0.0157357,-0.000806114,-0.00866049,958.788,-524.727,137.991
240,0,0.0150457,-0.000979291,-0.00863994,958.793,-524.722,137.987
241,0,0.0163134,-0.00079586,-0.0090103,958.78,-524.713,137.987
242,0,0.0121494,-0.00316861,-0.00813976,958.745,-524.741,137.922
243,0,0.0158325,-0.000952291,-0.00897665,958.794,-524.726,138.023
244,0,0.0121874,-0.00276048,-0.00807601,958.736,-524.758,137.897
245,0,0.0157967,-0.00103666,-0.00923569,958.797,-524.728,137.986
246,0,0.015522,-0.000977997,-0.00886163,958.776,-524.726,137.984
247,0,0.0154714,-0.000910245,-0.00867625,958.795,-524.726,138.01
248,0,0.0154331,-0.00122771,-0.00901645,958.793,-524.708,138.011
249,0,0.0120424,-0.00268244,-0.00811893,958.74,-524.745,137.903
250,0,0.0153625,-0.000875241,-0.00888927,958.792,-524.727,137.99
251,0,0.0152756,-0.00100323,-0.0087056,958.793,-524.749,138
252,0,0.0159438,-0.00107757,-0.00900701,958.779,-524.712,137.995
253,0,0.0154456,-0.00122224,-0.00900652,958.792,-524.712,138.015
254,0,0.0153042,-0.00105551,-0.00888431,958.796,-524.731,138.019
255,0,0.0154112,-0.000975659,-0.00876964,958.797,-524.739,138.012
256,0,0.0154078,-0.000673726,-0.00874279,958.78,-524.737,137.997
257,0,0.0151151,-0.000762787,-0.00875936,958.783,-524.742,137.982
258,0,0.0154217,-0.00120183,-0.00885803,958.781,-524.732,138
259,0,0.012344,-0.00277982,-0.00807969,958.733,-524.729,137.895
260,0,0.0151664,-0.00120133,-0.00899072,958.796,-524.72,138.013
261,0,0.0155179,-0.000971857,-0.00879034,958.791,-524.745,138.015
262,0,0.0157301,-0.000942208,-0.00903891,958.782,-524.736,137.999
263,0,0.0160331,-0.00104851,-0.00896374,958.779,-524.728,137.984
264,0,0.0155661,-0.00119375,-0.00858591,958.79,-524.731,138.003
265,0,0.01537,-0.00106495,-0.00889967,958.804,-524.716,138.006
266,0,0.0160169,-0.00081126,-0.00886865,958.79,-524.726,137.999
