Trajectories
100
,,1 5,,,1 6,,,1 7,,,1 8,,,1 9,,,1 10,,,1 11,,,1 12,,,1 13,,,1 14,,,1 15,,,1 16,,,1 17,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
49,0,1348.01,-53.9852,25.6618,1617.86,392.611,26.8388,1587,1122.85,48.0589,1092.71,1093.3,38.8454,442.446,1070.56,42.7015,515.556,-8.14321,18.6921,2304.46,226.808,38.726,781.151,446.825,22.5257,-157.97,-27.467,35.1464,500.762,-753.424,15.2551,1132.26,-738.465,14.5775,1772.54,-749.193,27.0597,,,
50,0,1348.01,-54.0131,25.6506,1617.85,392.624,26.8515,1586.96,1122.86,48.0623,1092.77,1093.25,38.8435,442.472,1070.57,42.7504,515.867,-7.93657,19.1949,2304.43,226.796,38.7369,781.216,446.81,22.5506,-157.955,-27.4534,35.2206,500.71,-753.445,15.2799,1132.19,-738.454,14.5562,1772.51,-749.212,27.101,,,
51,0,1348.01,-54.0082,25.7026,1617.86,392.64,26.8716,1586.89,1122.91,47.9459,1092.79,1093.27,38.8618,442.514,1070.57,42.7875,515.686,-7.9025,19.0793,2304.44,226.812,38.7187,781.18,446.947,22.54,-158.304,-27.6483,34.9532,500.926,-753.386,15.3662,1132.25,-738.503,14.6254,1772.49,-749.198,27.0746,,,
52,0,1347.97,-54.0047,25.6508,1617.86,392.618,26.8441,1587.02,1122.88,48.0936,1092.81,1093.29,38.8767,442.361,1070.61,42.6101,515.549,-7.87815,19.0637,2304.45,226.828,38.7213,781.174,446.849,22.5771,-157.895,-27.4695,35.2714,500.741,-753.432,15.3012,1132.19,-738.545,14.6025,1772.43,-749.22,27.0659,,,
53,0,1347.97,-53.997,25.6817,1617.86,392.642,26.8467,1586.98,1122.84,48.0174,1092.87,1093.22,38.8586,442.496,1070.57,42.7605,515.554,-8.21325,18.7656,2304.48,226.839,38.7228,781.251,446.846,22.5253,-157.938,-27.4572,35.1545,500.893,-753.43,15.3651,1132.19,-738.532,14.5969,1772.52,-749.212,27.0886,,,
54,0,1347.86,-54.0137,25.5839,1617.86,392.617,26.8628,1586.97,1122.84,48.0515,1092.89,1093.2,38.8767,442.437,1070.57,42.6963,515.42,-8.10194,18.6808,2304.46,226.804,38.7176,781.179,446.845,22.5531,-157.982,-27.5138,35.0285,500.909,-753.387,15.3966,1132.22,-738.522,14.5475,1772.51,-749.204,27.1299,,,
55,0,1347.92,-54.002,25.6903,1617.85,392.62,26.8584,1586.97,1122.85,48.0655,1092.8,1093.26,38.9039,442.462,1070.57,42.7435,515.517,-8.11341,18.6058,2304.45,226.829,38.7328,781.305,446.843,22.575,-157.968,-27.4977,35.3003,500.9,-753.44,15.3872,1132.22,-738.532,14.5855,1772.51,-749.212,27.1298,,,
56,0,1347.83,-54.0187,25.5481,1617.85,392.625,26.8613,1586.96,1122.83,48.0542,1092.77,1093.31,38.8938,442.327,1070.6,42.5681,515.632,-8.22377,18.7486,2304.48,226.813,38.7441,781.156,446.888,22.5515,-158.311,-27.6888,34.7865,500.836,-753.37,15.3883,1132.19,-738.573,14.563,1772.49,-749.215,27.0986,,,
57,0,1347.85,-54.0569,25.6149,1617.84,392.623,26.8468,1586.98,1122.89,48.0235,1092.76,1093.3,38.9132,442.522,1070.59,42.7846,515.59,-7.89049,19.0414,2304.46,226.816,38.724,781.207,446.882,22.4762,-157.972,-27.4667,35.1555,501.098,-753.454,15.521,1132.2,-738.538,14.5475,1772.5,-749.212,27.1151,,,
58,0,1347.77,-54.0706,25.552,1617.87,392.641,26.8627,1586.96,1122.85,48.0548,1092.81,1093.29,38.9023,442.494,1070.57,42.7377,515.75,-8.1959,18.706,2304.42,226.806,38.6503,781.162,446.877,22.4847,-157.946,-27.4726,35.0641,500.817,-753.377,15.2855,1132.18,-738.514,14.4961,1772.52,-749.213,27.1323,,,
59,0,1347.79,-54.0811,25.5925,1617.86,392.614,26.856,1587,1122.84,48.0584,1092.88,1093.26,38.9266,442.514,1070.55,42.7992,515.633,-8.14373,18.7304,2304.46,226.824,38.7014,781.176,446.893,22.5149,-157.968,-27.4923,35.1147,500.932,-753.376,15.4562,1132.19,-738.619,14.5474,1772.52,-749.213,27.1021,,,
60,0,1347.84,-54.0863,25.628,1617.86,392.625,26.8643,1586.95,1122.84,48.054,1092.74,1093.34,38.9364,442.481,1070.56,42.7622,515.609,-7.85216,19.0257,2304.45,226.819,38.7385,781.16,446.88,22.5496,-157.902,-27.451,35.2588,500.807,-753.45,15.3368,1132.14,-738.657,14.5646,1772.5,-749.203,27.1611,,,
61,0,1347.77,-54.0685,25.5539,1617.85,392.631,26.8601,1586.94,1122.85,48.0548,1092.7,1093.36,38.9757,442.297,1070.62,42.5411,515.631,-8.15735,18.6494,2304.45,226.836,38.6995,781.129,446.901,22.5907,-158.288,-27.7733,34.7418,500.692,-753.38,15.2833,1132.21,-738.569,14.5793,1772.46,-749.246,27.1092,,,
62,0,1347.83,-54.0797,25.6356,1617.85,392.632,26.8698,1586.99,1122.88,48.128,1092.73,1093.32,38.9599,442.419,1070.58,42.7085,515.785,-7.81914,19.0407,2304.46,226.825,38.7415,781.318,446.837,22.5527,-157.919,-27.4612,35.213,500.759,-753.405,15.3756,1132.21,-738.575,14.6032,1772.49,-749.201,27.1331,,,
63,0,1347.74,-54.0163,25.5182,1617.84,392.642,26.8412,1586.97,1122.84,48.021,1092.87,1093.25,38.9657,442.43,1070.59,42.7168,515.656,-8.18752,18.643,2304.44,226.816,38.6981,781.221,446.865,22.5551,-157.956,-27.445,35.2101,502.64,-753.697,16.1838,1132.17,-738.561,14.5496,1772.57,-749.179,27.1298,,,
64,0,1347.81,-54.0542,25.5501,1617.85,392.631,26.8372,1586.96,1122.83,48.0265,1092.78,1093.31,38.9308,442.462,1070.58,42.7139,515.638,-8.20811,18.7274,2304.48,226.82,38.7207,781.267,446.859,22.4999,-158.015,-27.5059,35.2313,501.189,-753.682,15.4256,1132.17,-738.572,14.5164,1772.55,-749.211,27.1274,,,
65,0,1347.8,-54.0945,25.5572,1617.85,392.618,26.8515,1586.9,1122.9,47.9236,1092.87,1093.26,38.9333,442.469,1070.58,42.7081,515.718,-8.19141,18.672,2304.45,226.802,38.7358,781.26,446.84,22.5666,-157.913,-27.4472,35.2217,501.355,-753.62,15.5858,1132.21,-738.565,14.5229,1772.76,-749.004,27.0034,,,
66,0,1347.8,-54.0966,25.588,1617.86,392.624,26.871,1586.88,1122.92,47.9523,1092.74,1093.33,38.9457,442.462,1070.56,42.7773,515.625,-7.87392,19.053,2304.44,226.823,38.732,781.299,446.863,22.5713,-158.363,-27.7337,34.7145,501.288,-753.668,15.5413,1132.15,-738.52,14.4683,1772.64,-749.073,27.1027,,,
67,0,1347.76,-54.0656,25.5592,1617.85,392.649,26.8815,1586.96,1122.85,48.0868,1092.81,1093.31,38.9719,442.372,1070.58,42.6681,515.59,-8.13937,18.7417,2304.45,226.789,38.7632,781.204,446.881,22.5485,-158.363,-27.7432,34.8941,501.164,-753.614,15.5124,1132.21,-738.587,14.6359,1772.56,-749.094,27.0654,,,
68,0,1347.81,-54.0486,25.6073,1617.85,392.635,26.848,1587,1122.87,48.0664,1092.91,1093.26,39.022,442.513,1070.55,42.7484,515.686,-8.20472,18.7359,2304.48,226.841,38.7277,781.216,446.873,22.5362,-158.333,-27.7476,34.6163,501.141,-753.568,15.4978,1132.19,-738.53,14.5292,1772.61,-749.039,27.0226,,,
69,0,1347.76,-54.0647,25.5036,1617.85,392.624,26.8335,1586.97,1122.86,48.071,1092.88,1093.28,38.9145,442.385,1070.58,42.6218,515.522,-8.10301,18.7251,2304.49,226.827,38.7084,781.174,446.865,22.5255,-157.968,-27.4533,35.1539,501.102,-753.522,15.342,1132.21,-738.554,14.5313,1772.65,-749.086,27.0634,,,
70,0,1347.75,-54.0258,25.4805,1617.87,392.631,26.8453,1586.98,1122.84,48.0259,1092.89,1093.23,38.9433,442.288,1070.65,42.5204,515.684,-7.9076,18.9986,2304.46,226.809,38.6842,781.288,446.87,22.4951,-157.878,-27.4302,35.1573,501.011,-753.541,15.4215,1132.2,-738.594,14.5928,1772.61,-749.132,27.0695,,,
71,0,1347.8,-54.1005,25.6086,1617.87,392.622,26.8846,1586.72,1123.09,47.7238,1092.85,1093.25,38.99,442.508,1070.56,42.8068,515.593,-8.18279,18.7025,2304.44,226.83,38.7042,781.317,446.846,22.5429,-158.008,-27.4981,35.2278,501.02,-753.468,15.4385,1132.25,-738.564,14.6552,1772.55,-749.123,27.0286,,,
