Objects
100
,,Global Angle quackgpt:quackgpt,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
119,0,-0.00816246,-0.00292295,0.0502176,1305.4,-408.202,143.66
120,0,-0.00602962,-0.00377724,0.0496907,1305.37,-408.2,143.574
121,0,-0.00586149,-0.00351867,0.0497438,1305.38,-408.188,143.596
122,0,-0.00803281,-0.00286137,0.0501227,1305.4,-408.206,143.654
123,0,-0.00546012,-0.00400813,0.0492611,1305.36,-408.243,143.588
124,0,-0.00636048,-0.00377881,0.0495718,1305.38,-408.192,143.6
125,0,-0.00791046,-0.00291689,0.0501677,1305.41,-408.183,143.65
126,0,-0.00666371,-0.00392551,0.0498872,1305.39,-408.182,143.612
127,0,-0.00692299,-0.00380858,0.0498369,1305.4,-408.187,143.628
128,0,-0.00771072,-0.00293244,0.050309,1305.4,-408.193,143.639
129,0,-0.00643316,-0.0036951,0.0498304,1305.39,-408.182,143.612
130,0,-0.0083574,-0.00298936,0.0503303,1305.39,-408.204,143.642
131,0,-0.0068731,-0.00370165,0.0497351,1305.39,-408.2,143.629
132,0,-0.00872696,-0.00309837,0.0502827,1305.4,-408.194,143.64
133,0,-0.0066075,-0.00381234,0.0497551,1305.39,-408.178,143.619
134,0,-0.00633714,-0.00367948,0.049688,1305.39,-408.177,143.603
135,0,-0.00608042,-0.00381616,0.0496212,1305.38,-408.184,143.601
136,0,-0.00817401,-0.00333534,0.0500708,1305.4,-408.186,143.646
137,0,-0.00697318,-0.00379278,0.0497722,1305.4,-408.187,143.636
138,0,-0.00624692,-0.00359791,0.0497227,1305.38,-408.193,143.596
139,0,-0.00670836,-0.00366813,0.0498402,1305.39,-408.189,143.601
140,0,-0.00596829,-0.00376643,0.0496268,1305.37,-408.194,143.594
141,0,-0.00623569,-0.00383095,0.049573,1305.38,-408.187,143.612
142,0,-0.00541139,-0.00375536,0.0493466,1305.36,-408.24,143.583
143,0,-0.00717303,-0.00287143,0.0500408,1305.4,-408.207,143.625
144,0,-0.00615946,-0.00367053,0.0497331,1305.38,-408.204,143.589
145,0,-0.00645247,-0.00390513,0.049722,1305.38,-408.193,143.603
146,0,-0.00656157,-0.00365157,0.0496972,1305.38,-408.181,143.612
147,0,-0.00906525,-0.00300307,0.0502286,1305.41,-408.199,143.684
148,0,-0.00622413,-0.00379104,0.0496196,1305.39,-408.182,143.608
149,0,-0.00644828,-0.00385336,0.0498203,1305.38,-408.204,143.611
150,0,-0.00773807,-0.0029968,0.0500835,1305.39,-408.213,143.649
151,0,-0.006304,-0.00366921,0.0497401,1305.38,-408.198,143.603
152,0,-0.00618523,-0.00373611,0.0498036,1305.38,-408.19,143.601
153,0,-0.00785972,-0.00302787,0.0501566,1305.4,-408.178,143.64
154,0,-0.00738107,-0.00387284,0.049879,1305.39,-408.197,143.631
155,0,-0.00652621,-0.00399946,0.0496271,1305.38,-408.2,143.605
156,0,-0.00695578,-0.00376191,0.0497394,1305.37,-408.203,143.598
157,0,-0.00639633,-0.0037547,0.0497379,1305.38,-408.194,143.605
158,0,-0.00832074,-0.00296242,0.0501667,1305.4,-408.201,143.649
159,0,-0.00742425,-0.0029109,0.0500748,1305.4,-408.193,143.651
160,0,-0.00658739,-0.00375546,0.0498183,1305.38,-408.179,143.612
161,0,-0.00538781,-0.00383011,0.0492699,1305.35,-408.258,143.583
162,0,-0.00591945,-0.00352539,0.0495072,1305.36,-408.256,143.571
163,0,-0.00642722,-0.00388204,0.0497955,1305.38,-408.182,143.598
164,0,-0.00803524,-0.00316036,0.0500821,1305.39,-408.195,143.645
165,0,-0.00623753,-0.00395286,0.0495728,1305.39,-408.186,143.61
166,0,-0.00644242,-0.00382043,0.0497059,1305.38,-408.178,143.606
167,0,-0.00617919,-0.00367535,0.0496591,1305.39,-408.21,143.598
168,0,-0.0065029,-0.00373144,0.0496756,1305.39,-408.201,143.611
169,0,-0.00789753,-0.0028737,0.050092,1305.38,-408.208,143.629
170,0,-0.00638363,-0.00398512,0.0497509,1305.38,-408.18,143.608
171,0,-0.00559453,-0.00364822,0.0496796,1305.38,-408.179,143.589
172,0,-0.00708299,-0.00386462,0.049671,1305.39,-408.193,143.612
173,0,-0.00625248,-0.00365013,0.0495997,1305.38,-408.195,143.59
174,0,-0.00636819,-0.00377115,0.0497645,1305.39,-408.193,143.617
175,0,-0.00666891,-0.00388778,0.0497064,1305.39,-408.193,143.614
176,0,-0.00595557,-0.00377225,0.049862,1305.37,-408.188,143.59
177,0,-0.00637862,-0.00386164,0.0498098,1305.39,-408.175,143.615
178,0,-0.00548516,-0.00392557,0.0492613,1305.36,-408.253,143.578
179,0,-0.00830919,-0.00292756,0.0501485,1305.4,-408.218,143.648
180,0,-0.00677584,-0.00391037,0.0498932,1305.37,-408.2,143.607
181,0,-0.00697555,-0.00366076,0.0499046,1305.39,-408.18,143.608
182,0,-0.00674623,-0.00390356,0.0496527,1305.39,-408.178,143.602
183,0,-0.00786892,-0.00312955,0.050192,1305.4,-408.191,143.637
184,0,-0.00708881,-0.00300753,0.049843,1305.37,-408.276,143.609
185,0,-0.00653441,-0.00384856,0.0496631,1305.39,-408.197,143.618
186,0,-0.00679046,-0.00375214,0.0498136,1305.39,-408.182,143.605
187,0,-0.00852697,-0.00299457,0.0501871,1305.4,-408.211,143.641
188,0,-0.00612066,-0.00377162,0.049772,1305.38,-408.196,143.592
189,0,-0.00641051,-0.0037724,0.049602,1305.39,-408.198,143.628
190,0,-0.00623528,-0.00364053,0.0497104,1305.38,-408.19,143.599
191,0,-0.00787208,-0.00290764,0.050161,1305.4,-408.198,143.634
192,0,-0.00572036,-0.00376004,0.0492501,1305.36,-408.248,143.569
193,0,-0.00749683,-0.00302478,0.0500695,1305.39,-408.2,143.635
194,0,-0.00661875,-0.00361857,0.0498022,1305.38,-408.175,143.611
195,0,-0.00837365,-0.00305203,0.0501509,1305.39,-408.195,143.654
196,0,-0.00811446,-0.00299732,0.0503103,1305.41,-408.201,143.65
197,0,-0.00745893,-0.00359823,0.0498381,1305.39,-408.191,143.598
198,0,-0.00806267,-0.00300673,0.0500946,1305.4,-408.196,143.646
199,0,-0.00671803,-0.00396911,0.0496998,1305.38,-408.182,143.61
200,0,-0.00797372,-0.00297543,0.0500295,1305.4,-408.202,143.658
201,0,-0.00635352,-0.00381236,0.0497876,1305.37,-408.199,143.589
202,0,-0.00687695,-0.00387696,0.0497785,1305.38,-408.194,143.596
203,0,-0.00782883,-0.00285866,0.0502229,1305.39,-408.203,143.629
204,0,-0.00728444,-0.00316638,0.0497656,1305.36,-408.261,143.61
205,0,-0.00789907,-0.00314886,0.0502595,1305.39,-408.2,143.64
206,0,-0.00783361,-0.00327003,0.0502921,1305.4,-408.189,143.644
207,0,-0.00804751,-0.00311208,0.0502756,1305.4,-408.207,143.641
208,0,-0.0068129,-0.00388333,0.0498268,1305.39,-408.19,143.615
209,0,-0.0059038,-0.00359447,0.0494937,1305.36,-408.253,143.577
210,0,-0.00605602,-0.00384429,0.0497841,1305.38,-408.184,143.609
211,0,-0.00637023,-0.00381338,0.0497398,1305.37,-408.193,143.599
212,0,-0.00716464,-0.00354408,0.0499023,1305.38,-408.182,143.601
213,0,-0.00791147,-0.00323442,0.0500575,1305.4,-408.205,143.643
214,0,-0.00829833,-0.00305548,0.0503443,1305.39,-408.198,143.647
215,0,-0.00818604,-0.00296887,0.0505104,1305.4,-408.215,143.64
216,0,-0.00607582,-0.00391011,0.0493907,1305.36,-408.252,143.565
217,0,-0.00665544,-0.00380353,0.0497479,1305.38,-408.176,143.598
218,0,-0.00845124,-0.00300234,0.050247,1305.4,-408.184,143.641
219,0,-0.00567309,-0.00365076,0.049496,1305.36,-408.247,143.594
220,0,-0.00650581,-0.00386886,0.0497667,1305.39,-408.192,143.603
221,0,-0.00689038,-0.00357995,0.0498158,1305.38,-408.192,143.599
222,0,-0.00589664,-0.00359998,0.0494557,1305.36,-408.245,143.571
223,0,-0.0069402,-0.00356148,0.0499672,1305.38,-408.185,143.608
224,0,-0.008137,-0.00302431,0.0502673,1305.4,-408.201,143.663
225,0,-0.00649842,-0.00397135,0.0497013,1305.39,-408.193,143.626
226,0,-0.00860687,-0.00288504,0.050342,1305.4,-408.199,143.655
227,0,-0.00734991,-0.00300404,0.0499532,1305.37,-408.272,143.6
228,0,-0.00865658,-0.00293678,0.0505279,1305.41,-408.205,143.651
229,0,-0.00636903,-0.00395594,0.0497417,1305.38,-408.189,143.604
230,0,-0.00810467,-0.00291969,0.0502283,1305.39,-408.207,143.637
231,0,-0.00653499,-0.00389387,0.0499503,1305.38,-408.18,143.611
232,0,-0.0063776,-0.00362788,0.0498252,1305.38,-408.2,143.608
233,0,-0.00564303,-0.00375786,0.0494267,1305.35,-408.249,143.577
234,0,-0.00526234,-0.00391141,0.0494839,1305.35,-408.249,143.59
235,0,-0.00633781,-0.00382721,0.0496986,1305.39,-408.194,143.613
236,0,-0.00631504,-0.00373452,0.0496767,1305.38,-408.194,143.603
237,0,-0.00625492,-0.00370553,0.0497821,1305.39,-408.192,143.593
238,0,-0.00789742,-0.00294482,0.050276,1305.39,-408.215,143.645
239,0,-0.00747242,-0.00374353,0.0499417,1305.39,-408.182,143.623
240,0,-0.0068216,-0.0037802,0.0498681,1305.38,-408.185,143.619
241,0,-0.0065977,-0.00383947,0.0500394,1305.39,-408.181,143.601
242,0,-0.00819866,-0.00286264,0.0502091,1305.4,-408.202,143.647
243,0,-0.00667187,-0.0039574,0.0497531,1305.38,-408.188,143.608
244,0,-0.00823621,-0.0034342,0.0501476,1305.38,-408.209,143.61
