Trajectories
100
,,1 5,,,1 6,,,1 7,,,1 8,,,1 9,,,1 10,,,1 11,,,1 12,,,1 13,,,1 14,,,1 15,,,1 16,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
39,0,1347.73,-54.1105,25.6667,436.741,1087.77,17.1354,1069.11,1099.66,21.2512,2284.35,228.723,28.8806,1617.87,392.63,26.9551,781.376,447.125,23.0695,517.115,-8.10642,18.4927,1132.25,-738.373,14.7766,1565.04,1103.63,24.4625,1772.49,-749.176,27.2363,502.838,-753.776,16.4862,-155.468,8.59418,19.5667
40,0,1347.71,-54.139,25.6863,437.296,1087.34,17.6886,1069.14,1099.67,21.2546,2284.33,228.705,28.8681,1617.87,392.624,26.962,781.372,447.146,23.0562,516.997,-8.01927,18.4426,1132.19,-738.399,14.7222,1565.03,1103.62,24.4493,1772.44,-749.188,27.205,502.591,-753.731,16.2541,-155.47,8.60173,19.5906
41,0,1347.7,-54.0725,25.6029,437.373,1087.29,17.7363,1069.13,1099.66,21.2537,2284.37,228.722,28.8721,1617.87,392.622,26.9655,781.311,447.117,23.0284,517.014,-8.07054,18.4204,1132.25,-738.39,14.7752,1565.03,1103.61,24.4428,1772.47,-749.162,27.2449,502.417,-753.816,16.1998,-155.431,8.53692,19.6377
42,0,1347.81,-54.0499,25.7226,437.288,1087.47,17.6511,1069.06,1099.66,21.2597,2284.38,228.731,28.8854,1617.87,392.612,26.9634,781.393,447.061,23.0647,517.096,-8.10864,18.4951,1132.27,-738.375,14.7558,1565.06,1103.63,24.5013,1772.48,-749.167,27.2314,502.505,-753.702,16.2123,-155.373,8.63292,19.426
43,0,1347.77,-54.0447,25.6288,436.68,1087.69,17.3869,1069.08,1099.68,21.2335,2284.34,228.718,28.8548,1617.86,392.639,26.9681,781.381,447.125,23.0338,517.072,-8.09623,18.4169,1132.26,-738.338,14.8344,1565.03,1103.62,24.4448,1772.49,-749.195,27.2599,501.375,-753.589,15.6608,-155.47,8.58237,19.4587
44,0,1347.78,-54.0794,25.6619,436.723,1087.71,17.4328,1069.12,1099.66,21.2128,2284.33,228.697,28.8393,1617.87,392.63,26.9743,781.279,447.148,23.0372,516.922,-7.97939,18.391,1132.17,-738.387,14.6599,1565.03,1103.59,24.4526,1772.51,-749.181,27.249,501.364,-753.61,15.6578,-155.406,8.58459,19.5872
45,0,1347.75,-54.0248,25.6074,437.4,1087.32,17.7904,1069.1,1099.69,21.2665,2284.38,228.732,28.9015,1617.87,392.622,26.9638,781.336,447.125,23.0299,517.09,-8.11788,18.5206,1132.16,-738.408,14.6836,1565.05,1103.62,24.4668,1772.43,-749.165,27.2251,502.772,-753.591,16.4249,-155.43,8.58427,19.4415
46,0,1347.76,-54.0977,25.6543,436.788,1087.61,17.4773,1069.09,1099.68,21.236,2284.35,228.71,28.8591,1617.87,392.637,26.9611,781.262,447.144,23.0315,517.108,-8.06056,18.4152,1132.19,-738.37,14.6716,1565.09,1103.62,24.4872,1772.45,-749.167,27.2187,502.774,-753.607,16.3661,-155.455,8.58951,19.5412
47,0,1347.78,-54.0159,25.6053,437.42,1087.22,17.7923,1069.11,1099.69,21.2642,2284.35,228.712,28.8568,1617.87,392.627,26.9582,781.519,447.078,23.0348,516.884,-8.01592,18.4628,1132.22,-738.384,14.6509,1565.02,1103.63,24.4676,1772.46,-749.16,27.2206,502.514,-753.741,16.214,-155.467,8.59372,19.5494
48,0,1347.7,-54.1342,25.6762,436.888,1087.59,17.5892,1069.02,1099.73,21.2249,2284.34,228.719,28.8537,1617.85,392.635,26.9489,781.37,447.096,23.0188,516.951,-7.97862,18.388,1132.18,-738.379,14.6846,1565.03,1103.63,24.4744,1772.5,-749.137,27.2192,502.429,-753.733,16.1954,-155.429,8.58843,19.555
49,0,1347.76,-54.1037,25.6649,437.796,1086.97,18.0802,1069.08,1099.72,21.2664,2284.32,228.711,28.8481,1617.87,392.632,26.948,781.32,447.125,23.0974,516.919,-8.02713,18.4525,1132.17,-738.353,14.6438,1565.08,1103.63,24.5547,1772.48,-749.153,27.222,502.586,-753.637,16.259,-155.445,8.60678,19.5156
50,0,1347.73,-54.147,25.7104,437.527,1087.25,17.914,1069.14,1099.65,21.2717,2284.36,228.698,28.8922,1617.87,392.631,26.9739,781.39,447.065,23.0439,516.974,-7.98217,18.4473,1132.21,-738.377,14.7213,1565.05,1103.63,24.4498,1772.45,-749.175,27.2152,502.671,-753.612,16.2695,-155.429,8.60158,19.5715
